Dimension:    76    61    27
      lon       lat       dep        vp        dvp      dws_p      vs        dvs      dws_s     VpVs     vpvst
   119.000    21.460   200.000     8.725      .000      .000     5.049      .000      .000     1.728      .000
   119.000    21.460   250.000     8.800      .000      .000     5.093      .000      .000     1.728      .000
   119.000    21.460   300.000     8.900      .000      .000     5.150      .000      .000     1.728      .000
   119.000    21.540    -5.000     3.000      .000      .000     1.736      .000      .000     1.728      .000
   119.000    21.540      .000     3.847      .000      .000     2.226      .000      .000     1.728      .000
   119.000    21.540      .500     4.145      .000      .000     2.399      .000      .000     1.728      .000
   119.000    21.540     3.000     4.648      .000      .000     2.690      .000      .000     1.728      .000
   119.000    21.540     6.000     5.129      .000      .000     2.968      .000      .000     1.728      .000
   119.000    21.540    10.000     5.658      .000      .000     3.274      .000      .000     1.728      .000
   119.000    21.540    15.000     6.042      .000      .000     3.497      .000      .000     1.728      .000
   119.000    21.540    20.000     6.383      .000      .000     3.694      .000      .000     1.728      .000
   119.000    21.540    25.000     6.662      .000      .000     3.855      .000      .000     1.728      .000
   119.000    21.540    30.000     6.997      .000      .000     4.050      .000      .000     1.728      .000
   119.000    21.540    35.000     7.398      .000      .000     4.281      .000      .000     1.728      .000
   119.000    21.540    40.000     7.556      .000      .000     4.373      .000      .000     1.728      .000
   119.000    21.540    45.000     7.714      .000      .000     4.464      .000      .000     1.728      .000
   119.000    21.540    50.000     7.871      .000      .000     4.555      .000      .000     1.728      .000
   119.000    21.540    55.000     7.913      .000      .000     4.579      .000      .000     1.728      .000
   119.000    21.540    60.000     7.955      .000      .000     4.604      .000      .000     1.728      .000
   119.000    21.540    65.000     7.997      .000      .000     4.628      .000      .000     1.728      .000
   119.000    21.540    70.000     8.039      .000      .000     4.652      .000      .000     1.728      .000
   119.000    21.540    80.000     8.100      .000      .000     4.688      .000      .000     1.728      .000
   119.000    21.540    90.000     8.162      .000      .000     4.723      .000      .000     1.728      .000
   119.000    21.540   100.000     8.228      .000      .000     4.762      .000      .000     1.728      .000
   119.000    21.540   120.000     8.347      .000      .000     4.830      .000      .000     1.728      .000
   119.000    21.540   140.000     8.454      .000      .000     4.892      .000      .000     1.728      .000
   119.000    21.540   170.000     8.525      .000      .000     4.933      .000      .000     1.728      .000
   119.000    21.540   200.000     8.725      .000      .000     5.049      .000      .000     1.728      .000
   119.000    21.540   250.000     8.800      .000      .000     5.093      .000      .000     1.728      .000
   119.000    21.540   300.000     8.900      .000      .000     5.150      .000      .000     1.728      .000
   119.000    21.620    -5.000     3.000      .000      .000     1.736      .000      .000     1.728      .000
   119.000    21.620      .000     3.847      .000      .000     2.226      .000      .000     1.728      .000
   119.000    21.620      .500     4.145      .000      .000     2.399      .000      .000     1.728      .000
   119.000    21.620     3.000     4.648      .000      .000     2.690      .000      .000     1.728      .000
   119.000    21.620     6.000     5.129      .000      .000     2.968      .000      .000     1.728      .000
   119.000    21.620    10.000     5.658      .000      .000     3.274      .000      .000     1.728      .000
   119.000    21.620    15.000     6.042      .000      .000     3.497      .000      .000     1.728      .000
   119.000    21.620    20.000     6.383      .000      .000     3.694      .000      .000     1.728      .000
   119.000    21.620    25.000     6.662      .000      .000     3.855      .000      .000     1.728      .000
   119.000    21.620    30.000     6.997      .000      .000     4.050      .000      .000     1.728      .000
   119.000    21.620    35.000     7.398      .000      .000     4.281      .000      .000     1.728      .000
   119.000    21.620    40.000     7.556      .000      .000     4.373      .000      .000     1.728      .000
   119.000    21.620    45.000     7.714      .000      .000     4.464      .000      .000     1.728      .000
   119.000    21.620    50.000     7.871      .000      .000     4.555      .000      .000     1.728      .000
   119.000    21.620    55.000     7.913      .000      .000     4.579      .000      .000     1.728      .000
   119.000    21.620    60.000     7.955      .000      .000     4.604      .000      .000     1.728      .000
   119.000    21.620    65.000     7.997      .000      .000     4.628      .000      .000     1.728      .000
   119.000    21.620    70.000     8.039      .000      .000     4.652      .000      .000     1.728      .000
   119.000    21.620    80.000     8.100      .000      .000     4.688      .000      .000     1.728      .000
   119.000    21.620    90.000     8.162      .000      .000     4.723      .000      .000     1.728      .000
   119.000    21.620   100.000     8.228      .000      .000     4.762      .000      .000     1.728      .000
